user_id,total_spend,pct_rank,cumulative_revenue_ratio
9073224.2742948399,384.0,0.97589175891758917,0.83608576201455143
13756133.7762491194,384.0,0.97589175891758917,0.83608576201455143
3327202.0943712796,378.0,0.97564575645756457,0.83290489141689561
73714607.3371536902,377.0,0.97539975399754,0.83186116825203982
31556860.5592810420,376.0,0.97466174661746618,0.83082020625957786
39602761.4128729087,376.0,0.97466174661746618,0.83082020625957786
3175490.8020123919,376.0,0.97466174661746618,0.83082020625957786
40953348.8523432987,375.0,0.97441574415744159,0.82770560379937319
59283995.2508616440,374.0,0.97392373923739239,0.82667016415169881
3381037907.7217581644,374.0,0.97392373923739239,0.82667016415169881
70274582.7964868916,370.0,0.9736777367773678,0.8246048072011376
59150872.6355994877,365.0,0.9734317343173432,0.82358317341543219
7479349.1949480609,364.0,0.9731857318573186,0.82257534549169575
5244179.4867323211,362.0,0.972939729397294,0.82157027874035315
1663781.3078124746,361.0,0.97244772447724481,0.82057073433379812
44080603.5651121314,361.0,0.97244772447724481,0.82057073433379812
81834479.5125091790,359.0,0.97220172201722022,0.81857716786547563
6449198.2526522279,355.0,0.97195571955719562,0.817585906976102
38420537.7216639441,354.0,0.97121771217712172,0.81660569077630363
3018471.2187154322,354.0,0.97121771217712172,0.81660569077630363
5945718.9383173023,354.0,0.97121771217712172,0.81660569077630363
53709875.3635794172,353.0,0.97097170971709712,0.81367332569408968
3282203.4038192177,352.0,0.97072570725707252,0.81269863183907887
4570994.5660099908,351.0,0.97047970479704793,0.81172669915646178
34715004.0442654743,350.0,0.97023370233702333,0.81075752764623854
3518681.5571822382,347.0,0.96998769987699873,0.80979111730840914
74208315.1089315761,345.0,0.96974169741697414,0.80883299048776114
8673800.8985723616,342.0,0.96949569495694954,0.8078803860119006
85305313.7561330759,341.0,0.96924969249692494,0.80693606505322157
81335886.8473727587,336.0,0.96875768757687575,0.80599450526693639
31825674.2113685011,336.0,0.96875768757687575,0.80599450526693639
3578162.0623899917,331.0,0.96851168511685115,0.80413899741830386
8579252.3506286297,330.0,0.96826568265682655,0.80322504935595651
57471045.2261985947,326.0,0.968019680196802,0.80231386246600311
55194119.6469234549,325.0,0.96728167281672817,0.80141372026562474
49288108.7792907743,325.0,0.96728167281672817,0.80141372026562474
16291219.8111422394,325.0,0.96728167281672817,0.80141372026562474
7722668.2787414860,324.0,0.96703567035670357,0.79872157718167136
27314189.0356814830,323.0,0.966789667896679,0.79782695732608067
6488582.8788491425,322.0,0.96605166051660518,0.79693509864288381
4819495.8466668365,322.0,0.96605166051660518,0.79693509864288381
28624446.9980540301,322.0,0.96605166051660518,0.79693509864288381
71563215.6886463640,320.0,0.965559655596556,0.79426780611047454
3122197.9178413688,320.0,0.965559655596556,0.79426780611047454
7254379.8573622074,318.0,0.96506765067650679,0.79250065577844353
3414474.3739440974,318.0,0.96506765067650679,0.79250065577844353
44208623.4340317802,317.0,0.9648216482164822,0.79074455013598777
3159757.1355046671,314.0,0.964329643296433,0.78986925848715361
73427198.7537900210,314.0,0.964329643296433,0.78986925848715361
2541331.2931528712,311.0,0.96408364083640841,0.78813524222384823
5579434.4769739748,307.0,0.96383763837638381,0.78727651760937689
